cou_ID,cou_Name,cou_Description,cou_IsActive,cou_Rating,cou_DurationHours,cou_MaxDegree,cou_MinDegree
166,Network Programming,Socket programming network protocols and distributed applications,true,4.4,32,150,90
167,Parallel Computing,Multi-threading multiprocessing GPU programming and parallel algorithms,true,4.6,38,200,120
168,Quantum Computing Intro,Quantum mechanics qubits quantum gates and quantum algorithms,true,4.3,30,150,90
169,Information Theory,Entropy coding theory compression and communication fundamentals,true,4.2,28,150,90
170,Computational Complexity,Algorithm complexity P vs NP NP-completeness and computational limits,true,4.5,32,150,90
171,Graph Theory,Graph algorithms shortest paths spanning trees and network analysis,true,4.4,26,100,60
172,Linear Algebra,Matrices vectors transformations and applications in computing,true,4.6,30,150,90
173,Discrete Mathematics,Logic sets combinatorics and discrete structures for CS,true,4.5,35,150,90
174,Calculus for CS,Differential calculus integral calculus and computational applications,true,4.3,28,150,90
175,Probability Statistics,Probability theory distributions random variables and statistical inference,true,4.6,32,150,90
176,Numerical Methods,Numerical algorithms scientific computing and approximation techniques,true,4.4,30,150,90
177,Computer Vision OpenCV,Image processing object detection and OpenCV library usage,true,4.7,40,200,120
178,Speech Recognition,Audio processing speech-to-text ASR models and voice interfaces,true,4.5,35,200,120
179,Sentiment Analysis,Opinion mining text classification and emotion detection techniques,true,4.4,24,100,60
180,Named Entity Recognition,Entity extraction information extraction and NLP tagging,true,4.3,22,100,60
181,Text Generation,Language generation transformer models and creative AI applications,true,4.6,30,150,90
182,Document Processing,PDF parsing OCR text extraction and document understanding,true,4.4,26,100,60
183,Search Engine Development,Information retrieval indexing ranking and search algorithms,true,4.5,38,200,120
184,Web Scraping Python,Data extraction BeautifulSoup Scrapy and web automation,true,4.3,20,100,60
185,Data Pipeline Automation,Workflow automation scheduling and data engineering best practices,true,4.5,32,150,90
186,Stream Processing,Real-time data processing event-driven architecture and streaming analytics,true,4.6,35,200,120
187,Graph Databases Neo4j,Graph modeling Cypher query language and relationship-based data,true,4.4,28,150,90
188,Time-Series Databases,InfluxDB TimescaleDB and specialized temporal data storage,true,4.3,24,100,60
189,Elasticsearch Search,Full-text search distributed search and analytics engine,true,4.5,30,150,90
190,Firebase Development,Backend as a service real-time database and app development,true,4.4,22,100,60
191,Supabase Backend,Open-source Firebase alternative PostgreSQL and real-time features,true,4.5,24,100,60
192,Headless CMS,Content management API-first CMS and content delivery,true,4.3,18,50,30
193,WordPress Development,Theme development plugin creation and PHP customization,true,4.2,26,100,60
194,E-commerce Shopify,Online store setup product management and Shopify customization,true,4.4,20,100,60
195,Payment Gateway Integration,Stripe PayPal payment processing and transaction security,true,4.5,16,50,30
196,Email Marketing Automation,Campaign management segmentation and marketing automation tools,true,4.2,14,50,30
197,Social Media APIs,Twitter API Facebook Graph API and social integration,true,4.3,18,100,60
198,Chatbot Development,Conversational AI dialog systems and bot frameworks,true,4.6,28,150,90
199,Voice Assistant Skills,Alexa skills Google Actions and voice app development,true,4.4,22,100,60
200,WebSockets Real-time,Bi-directional communication real-time features and WebSocket protocol,true,4.5,16,50,30
201,Server-Sent Events,Push notifications streaming data and SSE implementation,true,4.2,10,30,18
202,WebRTC Communication,Peer-to-peer video audio and real-time communication,true,4.4,30,150,90
203,Browser Extensions,Chrome extensions Firefox add-ons and browser API development,true,4.3,20,100,60
204,Desktop Apps Electron,Cross-platform desktop applications with web technologies,true,4.5,32,150,90
205,Cross-platform Qt,Native applications C++ Qt framework and GUI development,true,4.2,38,200,120
206,Windows Forms .NET,Windows desktop development GUI controls and event handling,true,3.9,28,100,60
207,WPF XAML Development,Windows Presentation Foundation modern UI and data binding,true,4.1,35,150,90
208,macOS Swift Development,Native Mac applications AppKit and macOS SDK,true,4.4,40,200,120
209,Linux GTK Programming,GNOME applications GTK+ toolkit and Linux GUI development,true,4.0,32,150,90
210,Game Physics Programming,Collision detection rigid body dynamics and physics engines,true,4.6,35,200,120
211,Shader Programming,GLSL HLSL graphics shaders and visual effects,true,4.5,30,150,90
212,3D Modeling Blender,3D modeling texturing animation and Blender Python scripting,true,4.4,28,100,60
213,Motion Graphics,After Effects animation keyframing and motion design,true,4.2,24,100,60
214,Video Processing FFmpeg,Video encoding transcoding streaming and media manipulation,true,4.3,20,100,60
215,Audio Processing,DSP sound synthesis audio effects and music programming,true,4.4,26,150,90
216,MIDI Programming,Musical instrument digital interface music software and sequencing,true,4.1,18,50,30
217,Image Recognition,CNN architectures classification detection and vision applications,true,4.7,42,200,120
218,Facial Recognition,Face detection biometric systems and identity verification,true,4.4,32,150,90
219,Object Tracking,Video tracking motion analysis and surveillance systems,true,4.5,30,150,90
220,Pose Estimation,Human pose detection skeleton tracking and motion capture,true,4.6,28,150,90
221,Semantic Segmentation,Pixel-level classification scene understanding and image segmentation,true,4.5,35,200,120
222,Generative AI,GANs diffusion models and AI-generated content,true,4.8,45,220,132
223,Image Synthesis,Style transfer neural art and image generation techniques,true,4.6,32,150,90
224,Video Generation,Temporal models video synthesis and motion prediction,true,4.4,38,200,120
225,3D Reconstruction,Structure from motion photogrammetry and 3D scene modeling,true,4.5,40,200,120
226,SLAM Robotics,Simultaneous localization mapping autonomous navigation systems,true,4.7,48,220,132
227,Robot Operating System,ROS framework robot programming and autonomous systems,true,4.6,42,200,120
228,Drone Programming,UAV development flight control and autonomous drones,true,4.4,35,150,90
229,Industrial Automation,PLC programming SCADA systems and manufacturing automation,true,4.2,38,200,120
230,Edge Computing,Edge AI local processing and distributed edge architectures,true,4.5,28,150,90
231,5G Networks,Fifth generation wireless millimeter wave and network slicing,true,4.3,26,100,60
232,SDN Software Networking,Software-defined networks OpenFlow and network virtualization,true,4.4,32,150,90
233,Network Function Virtualization,NFV architectures virtual network functions and orchestration,true,4.2,30,150,90
234,Load Balancing,Traffic distribution high availability and scalability strategies,true,4.5,20,100,60
235,Content Delivery Networks,CDN architecture edge caching and global content distribution,true,4.3,22,100,60
236,API Gateway,API management routing rate limiting and gateway patterns,true,4.6,24,100,60
237,Service Mesh,Istio Linkerd microservice communication and traffic management,true,4.4,30,150,90
238,Observability Engineering,Metrics logs traces and system visibility,true,4.5,28,150,90
239,Site Reliability Engineering,SRE principles incident management and system reliability,true,4.7,35,200,120
240,Chaos Engineering,Resilience testing failure injection and system robustness,true,4.4,22,100,60
241,Performance Testing,Load testing stress testing and performance benchmarking,true,4.5,26,100,60
242,Security Testing,SAST DAST penetration testing and vulnerability scanning,true,4.6,32,150,90
243,Mobile Testing Appium,Mobile automation cross-platform testing and Appium framework,true,4.3,28,150,90
244,Cypress Testing,End-to-end testing JavaScript test automation and Cypress framework,true,4.5,22,100,60
245,Jest Unit Testing,JavaScript testing React testing and Jest framework,true,4.4,16,50,30
246,PyTest Framework,Python testing fixtures mocking and test automation,true,4.5,18,50,30
247,JUnit Testing,Java unit testing TDD practices and testing frameworks,true,4.3,20,100,60
248,Contract Testing,API contracts consumer-driven testing and service integration,true,4.2,16,50,30
249,Behavior-Driven Development,BDD Cucumber Gherkin and specification by example,true,4.4,18,100,60
250,Continuous Testing,Test automation CI/CD integration and shift-left testing,true,4.5,22,100,60
251,Code Coverage Analysis,Test coverage metrics coverage tools and quality metrics,true,4.3,12,50,30
252,Static Code Analysis,Linting code quality tools and automated code review,true,4.4,14,50,30
253,Security Code Review,Secure coding OWASP standards and code security analysis,true,4.6,24,100,60
254,Technical Debt Management,Code quality maintainability and refactoring strategies,true,4.2,16,50,30
255,Legacy Code Modernization,Code migration refactoring and system modernization,true,4.3,28,150,90
256,Open Source Contribution,Contributing to projects pull requests and community engagement,true,4.5,12,30,18
257,GitHub Actions,Workflow automation CI/CD pipelines and GitHub integration,true,4.6,16,50,30
258,GitLab CI/CD,Continuous integration pipeline configuration and DevOps automation,true,4.4,18,50,30
259,Bitbucket Pipelines,CI/CD workflows Atlassian integration and deployment automation,true,4.2,14,50,30
260,Package Management npm,Node package manager dependency management and package publishing,true,4.3,10,30,18
261,Maven Build Tool,Java build automation dependency management and project structure,true,4.1,16,50,30
262,Gradle Build System,Build automation multi-project builds and dependency resolution,true,4.2,18,50,30
263,Dependency Injection,DI patterns IoC containers and loose coupling principles,true,4.5,20,100,60
264,Event-Driven Architecture,Event sourcing CQRS messaging patterns and asynchronous systems,true,4.6,32,150,90
265,Domain-Driven Design,DDD strategic design bounded contexts and tactical patterns,true,4.7,35,200,120
266,SOLID Principles,Software design principles object-oriented best practices,true,4.8,16,50,30
267,Hexagonal Architecture,Ports and adapters clean architecture and application boundaries,true,4.4,24,100,60
268,CQRS Pattern,Command query responsibility segregation and event sourcing,true,4.5,28,150,90
269,Repository Pattern,Data access abstraction persistence layer and design patterns,true,4.3,18,50,30
270,Factory Pattern,Creational patterns object instantiation and factory methods,true,4.2,14,50,30
271,Observer Pattern,Behavioral patterns pub-sub event handling and notifications,true,4.4,16,50,30
272,Strategy Pattern,Algorithm selection encapsulation and behavioral flexibility,true,4.3,14,50,30
273,Singleton Pattern,Creational pattern single instance and global access,true,4.1,10,30,18
274,Adapter Pattern,Structural pattern interface compatibility and legacy integration,true,4.2,12,50,30
275,Decorator Pattern,Structural pattern dynamic behavior and object enhancement,true,4.3,14,50,30
276,Facade Pattern,Structural pattern simplified interface and subsystem encapsulation,true,4.2,12,30,18
277,MVC Architecture,Model-View-Controller separation of concerns and web patterns,true,4.5,18,50,30
278,MVVM Pattern,Model-View-ViewModel data binding and UI patterns,true,4.4,20,100,60
279,MVP Pattern,Model-View-Presenter presentation logic and testability,true,4.2,16,50,30
280,Flux Architecture,Unidirectional data flow state management and React patterns,true,4.3,18,50,30
281,Redux State Management,Predictable state containers actions reducers and middleware,true,4.6,24,100,60
282,MobX Reactive State,Observable state reactive programming and automatic updates,true,4.4,20,100,60
283,Context API React,React context state sharing and component communication,true,4.5,14,50,30
284,Zustand State Library,Lightweight state management hooks-based and minimal boilerplate,true,4.3,12,30,18
285,Recoil State Management,Atomic state graph-based and React concurrent mode,true,4.2,16,50,30
286,Jotai Primitive State,Atomic approach bottom-up state and React integration,true,4.1,12,30,18
287,Valtio Proxy State,Proxy-based state mutable syntax and reactive updates,true,4.0,10,30,18
288,XState State Machines,Finite state machines statecharts and complex logic,true,4.5,26,100,60
289,Form Validation,Input validation error handling and user feedback,true,4.3,12,50,30
290,React Hook Form,Performance-focused forms validation and React hooks,true,4.6,16,50,30
291,Formik Forms,Form management validation schemas and form state,true,4.4,18,50,30
292,Yup Validation Schema,Object schema validation data validation and type safety,true,4.2,8,30,18
293,Zod TypeScript Schema,Type-safe validation parsing and schema definition,true,4.5,12,50,30
294,Authentication Systems,User authentication session management and security,true,4.7,30,150,90
295,Authorization RBAC,Role-based access control permissions and security models,true,4.6,24,100,60
296,Multi-Factor Authentication,2FA security tokens and enhanced authentication,true,4.5,18,50,30
297,Single Sign-On SSO,Federated identity SAML OAuth and authentication protocols,true,4.4,22,100,60
298,Identity Management,User provisioning identity federation and IAM systems,true,4.3,28,150,90
299,LDAP Directory Services,Lightweight directory access protocol directory management,true,4.1,20,100,60
300,Active Directory,Windows domain services user management and group policy,true,4.0,24,100,60
301,Keycloak Identity,Open-source identity and access management SSO solutions,true,4.4,26,150,90
302,Auth0 Platform,Identity as a service authentication APIs and integrations,true,4.5,16,50,30
303,Okta Identity Cloud,Enterprise identity management SSO and security,true,4.3,18,100,60
304,Password Security,Hashing salting bcrypt and secure credential storage,true,4.6,14,50,30
305,Session Management,Session tokens cookies and stateful authentication,true,4.4,16,50,30
306,CORS Cross-Origin,Cross-origin resource sharing browser security and web APIs,true,4.3,10,30,18
307,Content Security Policy,CSP headers XSS prevention and browser security,true,4.5,12,50,30
308,SQL Injection Prevention,Input sanitization parameterized queries and security,true,4.7,16,50,30
309,XSS Protection,Cross-site scripting prevention output encoding and filtering,true,4.6,14,50,30
310,CSRF Prevention,Cross-site request forgery tokens and security measures,true,4.5,12,30,18
311,API Rate Limiting,Throttling request limits and abuse prevention,true,4.4,14,50,30
312,DDoS Protection,Distributed denial of service mitigation and traffic filtering,true,4.3,20,100,60
313,Web Application Firewall,WAF configuration attack detection and protection rules,true,4.5,24,100,60
314,Intrusion Detection Systems,Network monitoring threat detection and security alerts,true,4.4,28,150,90
315,Security Information Events,SIEM platforms log analysis and security monitoring,true,4.2,32,150,90
316,Vulnerability Management,Security scanning patch management and risk assessment,true,4.5,26,150,90
317,Security Auditing,Compliance audits security assessments and reporting,true,4.3,22,100,60
318,Digital Forensics,Incident investigation evidence collection and analysis,true,4.4,35,200,120
319,Malware Analysis,Threat analysis reverse engineering and malware detection,true,4.6,40,200,120
320,Reverse Engineering,Binary analysis disassembly and code decompilation,true,4.5,42,220,132
321,Binary Exploitation,Buffer overflows memory corruption and exploit development,true,4.4,45,220,132
322,Wireless Security,WiFi security WPA encryption and network protection,true,4.3,22,100,60
323,Bluetooth Security,BLE security pairing vulnerabilities and IoT protection,true,4.2,18,50,30
324,Mobile Forensics,Mobile device analysis data recovery and investigation,true,4.4,28,150,90
325,Cloud Forensics,Cloud investigation data preservation and digital evidence,true,4.3,30,150,90
326,Threat Intelligence,Threat hunting IOCs adversary tactics and security analysis,true,4.6,32,200,120
327,Red Team Operations,Offensive security attack simulation and adversary emulation,true,4.7,50,250,150
328,Blue Team Defense,Defensive security threat detection and incident response,true,4.6,45,220,132
329,Purple Team Collaboration,Integrated security offensive and defensive cooperation,true,4.5,28,150,90
330,Bug Bounty Hunting,Vulnerability research responsible disclosure and rewards,true,4.4,24,100,60
331,Web Application Testing,OWASP testing methodology security assessment,true,4.6,35,200,120
332,Mobile App Security Testing,Android iOS security mobile penetration testing,true,4.5,38,200,120
333,API Security Testing,REST GraphQL security authentication and authorization testing,true,4.6,28,150,90
334,Container Security,Docker security image scanning and runtime protection,true,4.5,26,150,90
335,Kubernetes Security,Pod security policies RBAC and cluster hardening,true,4.7,35,200,120
336,Secrets Management,Vault HashiCorp credential storage and secrets rotation,true,4.4,22,100,60
337,Zero Trust Architecture,Zero trust security micro-segmentation and identity verification,true,4.6,30,150,90
338,Blockchain Security,Smart contract audits consensus security and crypto vulnerabilities,true,4.5,32,200,120
339,Privacy Engineering,Privacy by design GDPR compliance and data protection,true,4.3,24,100,60
340,Secure Software Development,SDLC security secure coding and security requirements,true,4.7,28,150,90
341,Threat Modeling,Attack trees STRIDE risk analysis and security design,true,4.6,22,100,60
342,Security Automation,SOAR platforms automated response and security orchestration,true,4.4,30,150,90
343,Endpoint Security,EDR antivirus host protection and endpoint management,true,4.3,24,100,60
344,Data Loss Prevention,DLP policies data classification and leakage prevention,true,4.2,26,150,90
345,Email Security,Phishing prevention SPF DKIM DMARC and email filtering,true,4.4,18,50,30
346,Browser Security,Browser hardening secure browsing and web security,true,4.3,14,50,30
347,Hardware Security,TPM secure boot hardware encryption and firmware security,true,4.5,28,150,90
348,Biometric Security,Fingerprint face recognition and biometric authentication,true,4.4,20,100,60
349,Smart Card Security,PKI chip cards certificate authentication and access control,true,4.1,22,100,60
350,Quantum Cryptography,Post-quantum cryptography quantum key distribution and future security,true,4.3,35,200,120
